,,,29.5,29.5,29.5,29.5,29.5,29.5,29.5,29.5,29.5,29.5,29.25,29.25,29.25,29.25,29.25,29.25,29.25,29.25,29.25,29.25,29.0,29.0,29.0,29.0,29.0,29.0,29.0,29.0,29.0,29.0,28.75,28.75,28.75,28.75,28.75,28.75,28.75,28.75,28.75,28.75,28.5,28.5,28.5,28.5,28.5,28.5,28.5,28.5,28.5,28.5,28.25,28.25,28.25,28.25,28.25,28.25,28.25,28.25,28.25,28.25,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,27.75,27.75,27.75,27.75,27.75,27.75,27.75,27.75,27.75,27.75
,,,-85.25,-85.0,-84.75,-84.5,-84.25,-84.0,-83.75,-83.5,-83.25,-83.0,-85.25,-85.0,-84.75,-84.5,-84.25,-84.0,-83.75,-83.5,-83.25,-83.0,-85.25,-85.0,-84.75,-84.5,-84.25,-84.0,-83.75,-83.5,-83.25,-83.0,-85.25,-85.0,-84.75,-84.5,-84.25,-84.0,-83.75,-83.5,-83.25,-83.0,-85.25,-85.0,-84.75,-84.5,-84.25,-84.0,-83.75,-83.5,-83.25,-83.0,-85.25,-85.0,-84.75,-84.5,-84.25,-84.0,-83.75,-83.5,-83.25,-83.0,-85.25,-85.0,-84.75,-84.5,-84.25,-84.0,-83.75,-83.5,-83.25,-83.0,-85.25,-85.0,-84.75,-84.5,-84.25,-84.0,-83.75,-83.5,-83.25,-83.0
1,1,2,"(nan, nan)","(nan, nan)","(nan, nan)","(nan, nan)","(nan, nan)","(nan, nan)","(nan, nan)","(nan, nan)","(nan, nan)","(nan, nan)","(nan, nan)","(nan, nan)","(nan, nan)","(nan, nan)","(nan, nan)","(nan, nan)","(nan, nan)","(nan, nan)","(nan, nan)","(nan, nan)","(nan, nan)","(nan, nan)","(nan, nan)","(nan, nan)","(nan, nan)","(nan, nan)","(nan, nan)","(nan, nan)","(nan, nan)","(nan, nan)","(nan, nan)","(nan, nan)","(nan, nan)","(nan, nan)","(nan, nan)","(nan, nan)","(nan, nan)","(nan, nan)","(nan, nan)","(nan, nan)","(nan, nan)","(nan, nan)","(nan, nan)","(nan, nan)","(nan, nan)","(nan, nan)","(nan, nan)","(nan, nan)","(nan, nan)","(nan, nan)","(nan, nan)","(nan, nan)","(nan, nan)","(nan, nan)","(nan, nan)","(nan, nan)","(nan, nan)","(nan, nan)","(nan, nan)","(nan, nan)","(nan, nan)","(nan, nan)","(nan, nan)","(nan, nan)","(nan, nan)","(nan, nan)","(nan, nan)","(nan, nan)","(nan, nan)","(nan, nan)","(nan, nan)","(nan, nan)","(nan, nan)","(nan, nan)","(nan, nan)","(nan, nan)","(nan, nan)","(nan, nan)","(nan, nan)","(nan, nan)"
1,1,3,"(nan, nan)","(nan, nan)","(nan, nan)","(nan, nan)","(nan, nan)","(nan, nan)","(nan, nan)","(nan, nan)","(nan, nan)","(nan, nan)","(nan, nan)","(nan, nan)","(nan, nan)","(nan, nan)","(nan, nan)","(nan, nan)","(nan, nan)","(nan, nan)","(nan, nan)","(nan, nan)","(nan, nan)","(nan, nan)","(nan, nan)","(nan, nan)","(nan, nan)","(nan, nan)","(nan, nan)","(nan, nan)","(nan, nan)","(nan, nan)","(nan, nan)","(nan, nan)","(nan, nan)","(nan, nan)","(nan, nan)","(nan, nan)","(nan, nan)","(nan, nan)","(nan, nan)","(nan, nan)","(nan, nan)","(nan, nan)","(nan, nan)","(nan, nan)","(nan, nan)","(nan, nan)","(nan, nan)","(nan, nan)","(nan, nan)","(nan, nan)","(nan, nan)","(nan, nan)","(nan, nan)","(nan, nan)","(nan, nan)","(nan, nan)","(nan, nan)","(nan, nan)","(nan, nan)","(nan, nan)","(nan, nan)","(nan, nan)","(nan, nan)","(nan, nan)","(nan, nan)","(nan, nan)","(nan, nan)","(nan, nan)","(nan, nan)","(nan, nan)","(nan, nan)","(nan, nan)","(nan, nan)","(nan, nan)","(nan, nan)","(nan, nan)","(nan, nan)","(nan, nan)","(nan, nan)","(nan, nan)"
1,1,4,"(nan, nan)","(nan, nan)","(nan, nan)","(nan, nan)","(nan, nan)","(nan, nan)","(nan, nan)","(nan, nan)","(nan, nan)","(nan, nan)","(nan, nan)","(nan, nan)","(nan, nan)","(nan, nan)","(nan, nan)","(nan, nan)","(nan, nan)","(nan, nan)","(nan, nan)","(nan, nan)","(nan, nan)","(nan, nan)","(nan, nan)","(nan, nan)","(nan, nan)","(nan, nan)","(nan, nan)","(nan, nan)","(nan, nan)","(nan, nan)","(nan, nan)","(nan, nan)","(nan, nan)","(nan, nan)","(nan, nan)","(nan, nan)","(nan, nan)","(nan, nan)","(nan, nan)","(nan, nan)","(nan, nan)","(nan, nan)","(nan, nan)","(nan, nan)","(nan, nan)","(nan, nan)","(nan, nan)","(nan, nan)","(nan, nan)","(nan, nan)","(nan, nan)","(nan, nan)","(nan, nan)","(nan, nan)","(nan, nan)","(nan, nan)","(nan, nan)","(nan, nan)","(nan, nan)","(nan, nan)","(nan, nan)","(nan, nan)","(nan, nan)","(nan, nan)","(nan, nan)","(nan, nan)","(nan, nan)","(nan, nan)","(nan, nan)","(nan, nan)","(nan, nan)","(nan, nan)","(nan, nan)","(nan, nan)","(nan, nan)","(nan, nan)","(nan, nan)","(nan, nan)","(nan, nan)","(nan, nan)"
1,1,5,"(nan, nan)","(nan, nan)","(nan, nan)","(nan, nan)","(nan, nan)","(nan, nan)","(nan, nan)","(nan, nan)","(nan, nan)","(nan, nan)","(nan, nan)","(nan, nan)","(nan, nan)","(nan, nan)","(nan, nan)","(nan, nan)","(nan, nan)","(nan, nan)","(nan, nan)","(nan, nan)","(nan, nan)","(nan, nan)","(nan, nan)","(nan, nan)","(nan, nan)","(nan, nan)","(nan, nan)","(nan, nan)","(nan, nan)","(nan, nan)","(nan, nan)","(nan, nan)","(nan, nan)","(nan, nan)","(nan, nan)","(nan, nan)","(nan, nan)","(nan, nan)","(nan, nan)","(nan, nan)","(nan, nan)","(nan, nan)","(nan, nan)","(nan, nan)","(nan, nan)","(nan, nan)","(nan, nan)","(nan, nan)","(nan, nan)","(nan, nan)","(nan, nan)","(nan, nan)","(nan, nan)","(nan, nan)","(nan, nan)","(nan, nan)","(nan, nan)","(nan, nan)","(nan, nan)","(nan, nan)","(nan, nan)","(nan, nan)","(nan, nan)","(nan, nan)","(nan, nan)","(nan, nan)","(nan, nan)","(nan, nan)","(nan, nan)","(nan, nan)","(nan, nan)","(nan, nan)","(nan, nan)","(nan, nan)","(nan, nan)","(nan, nan)","(nan, nan)","(nan, nan)","(nan, nan)","(nan, nan)"
1,1,6,"(nan, nan)","(nan, nan)","(nan, nan)","(nan, nan)","(nan, nan)","(nan, nan)","(nan, nan)","(nan, nan)","(nan, nan)","(nan, nan)","(nan, nan)","(nan, nan)","(nan, nan)","(nan, nan)","(nan, nan)","(nan, nan)","(nan, nan)","(nan, nan)","(nan, nan)","(nan, nan)","(nan, nan)","(nan, nan)","(nan, nan)","(nan, nan)","(nan, nan)","(nan, nan)","(nan, nan)","(nan, nan)","(nan, nan)","(nan, nan)","(nan, nan)","(nan, nan)","(nan, nan)","(nan, nan)","(nan, nan)","(nan, nan)","(nan, nan)","(nan, nan)","(nan, nan)","(nan, nan)","(nan, nan)","(nan, nan)","(nan, nan)","(nan, nan)","(nan, nan)","(nan, nan)","(nan, nan)","(nan, nan)","(nan, nan)","(nan, nan)","(nan, nan)","(nan, nan)","(nan, nan)","(nan, nan)","(nan, nan)","(nan, nan)","(nan, nan)","(nan, nan)","(nan, nan)","(nan, nan)","(nan, nan)","(nan, nan)","(nan, nan)","(nan, nan)","(nan, nan)","(nan, nan)","(nan, nan)","(nan, nan)","(nan, nan)","(nan, nan)","(nan, nan)","(nan, nan)","(nan, nan)","(nan, nan)","(nan, nan)","(nan, nan)","(nan, nan)","(nan, nan)","(nan, nan)","(nan, nan)"
1,1,7,"(nan, nan)","(nan, nan)","(nan, nan)","(nan, nan)","(nan, nan)","(nan, nan)","(nan, nan)","(nan, nan)","(nan, nan)","(nan, nan)","(nan, nan)","(nan, nan)","(nan, nan)","(nan, nan)","(nan, nan)","(nan, nan)","(nan, nan)","(nan, nan)","(nan, nan)","(nan, nan)","(nan, nan)","(nan, nan)","(nan, nan)","(nan, nan)","(nan, nan)","(nan, nan)","(nan, nan)","(nan, nan)","(nan, nan)","(nan, nan)","(nan, nan)","(nan, nan)","(nan, nan)","(nan, nan)","(nan, nan)","(nan, nan)","(nan, nan)","(nan, nan)","(nan, nan)","(nan, nan)","(nan, nan)","(nan, nan)","(nan, nan)","(nan, nan)","(nan, nan)","(nan, nan)","(nan, nan)","(nan, nan)","(nan, nan)","(nan, nan)","(nan, nan)","(nan, nan)","(nan, nan)","(nan, nan)","(nan, nan)","(nan, nan)","(nan, nan)","(nan, nan)","(nan, nan)","(nan, nan)","(nan, nan)","(nan, nan)","(nan, nan)","(nan, nan)","(nan, nan)","(nan, nan)","(nan, nan)","(nan, nan)","(nan, nan)","(nan, nan)","(nan, nan)","(nan, nan)","(nan, nan)","(nan, nan)","(nan, nan)","(nan, nan)","(nan, nan)","(nan, nan)","(nan, nan)","(nan, nan)"
1,1,8,"(6.746662587301962, 1664.027209359718)","(5.729434887671552, 1283.9657231577914)","(5.374713339615672, 1086.2130188984154)","(5.7653868883022446, 1037.4109770054768)","(5.82313433649765, 935.4432057398183)","(5.644539031886688, 815.6027500823631)","(5.123227443438195, 677.8572220119597)","(4.686242742878136, 576.3949117715838)","(4.609431953097464, 523.6953761393743)","(4.443365455610117, 465.4516027669664)","(7.091528540632452, 1669.0770724867207)","(5.99468710152007, 1265.4632527655983)","(5.153777120986678, 974.0094246905215)","(5.035297715125428, 853.21519547763)","(5.2043129986617895, 789.932231382417)","(5.133357704194824, 704.5583044838294)","(5.187071791746906, 646.76920930283)","(5.233446230892692, 597.0707786541163)","(5.194992728757221, 550.5847198625678)","(5.022829325298778, 494.1691194497522)","(7.338749059434221, 1647.4309332402106)","(5.792131479871335, 1163.306397538953)","(4.594121897556206, 824.822960227617)","(4.562275819347057, 729.8605654874469)","(4.677423398948068, 674.3806703823016)","(5.010984751889082, 650.2994173037741)","(5.3022776520113695, 624.6135595131418)","(5.544208106526484, 596.7047861570073)","(5.513853067810955, 547.855790428452)","(5.230023266549662, 484.4641441899821)","(6.619864971490215, 1423.477719178285)","(5.50680131940704, 1059.4037540387076)","(4.688961741816452, 802.8784047584749)","(4.652711108122494, 710.2948521361195)","(5.0160154907654935, 681.8639832523596)","(5.334973242214046, 654.0297849646275)","(5.740072729653318, 638.223953557356)","(5.973498966211506, 608.7316845400051)","(5.728630326306496, 541.5943040204205)","(5.054954833496893, 448.80640790923536)","(5.692840966298178, 1164.4891245103472)","(5.176407362770431, 949.6435076633197)","(4.851650619881559, 792.5463196978758)","(5.131567453752112, 742.8465431400806)","(5.498399999762371, 708.7621864859188)","(5.909572695680119, 683.9702238336348)","(6.3104978802155385, 663.7508333549832)","(6.27555475046492, 608.0945834176731)","(5.778757372267761, 522.1286536984051)","(4.972439925634509, 423.4349059659605)","(5.401331633504631, 1030.8230747024593)","(5.4326341347556575, 933.7082821152411)","(5.469135215011449, 840.7858432584521)","(5.707593502066061, 779.3588237170028)","(6.041431681678034, 735.4759528203568)","(6.429091043187921, 704.0016881048894)","(6.751582868814218, 672.6004462708378)","(6.585059828310486, 604.7219678615322)","(6.006817765501848, 515.2079678744038)","(5.195019995029229, 420.63231767313215)","(5.781768378050983, 1016.1744334169194)","(6.048436722791583, 960.6483155185514)","(6.063915716346404, 866.8263270020541)","(6.103649592393832, 781.3875819950878)","(6.192503270824868, 712.0733897040984)","(6.3580849085589435, 661.4067191415342)","(6.528191476316632, 617.6791953174545)","(6.31409632857773, 549.4252793430213)","(5.966133483150337, 484.53860251049656)","(5.55440881710523, 424.90278762277694)","(6.520379810345166, 1054.636555139182)","(6.784387945958542, 994.2618237013533)","(6.623755594584488, 878.4608997464906)","(6.416196594405329, 768.4511401766363)","(6.260063637390877, 678.8904769009828)","(6.037906652536801, 596.5359509653252)","(6.04757178760693, 545.0408390741061)","(5.832586360831641, 483.7913080144057)","(5.770364847259721, 445.8110175846693)","(5.6559874337180265, 411.3863714015332)"
1,1,9,"(5.3163570977323475, 56.05449885367669)","(4.386415125229129, 47.180840327434694)","(3.9607205218944563, 42.644520819219544)","(3.9675142989492977, 41.28289657141802)","(4.002578638259437, 39.3950829442328)","(3.6066840532336313, 33.930644520607615)","(3.3330780470670005, 30.347891634574257)","(3.2475554604027903, 29.05066147025235)","(3.3681671188407107, 29.366304921351563)","(3.330661512031184, 28.24146911320512)","(5.120251171012069, 53.68615330606338)","(4.813486747053697, 50.57687055273669)","(4.43591297905102, 46.24833954947636)","(4.127651255798471, 41.690993494750835)","(3.628606845135246, 35.31260452576477)","(3.2688539605563047, 30.451613025300226)","(3.2192799193009916, 28.849000443854198)","(3.42173997090879, 29.613425215978705)","(3.586028040460058, 30.28516484858297)","(3.7170571278773243, 30.562644698719982)","(5.73875780391562, 59.86659044992456)","(5.454319762774552, 56.552665236290096)","(4.848422426411456, 49.626884648263214)","(4.4213416836670865, 43.645083692392255)","(3.738874860344959, 35.59519362679544)","(3.3598094859309997, 30.614626303000914)","(3.4260978336350885, 29.968206654268478)","(3.76660971865982, 31.71635421752381)","(3.8914309015528423, 31.837387828393275)","(4.0216349356800025, 32.054467819045136)","(5.957202887236195, 62.51367470349397)","(5.83576078252245, 60.48390397623159)","(5.383939929206458, 54.48704788784462)","(4.810110726820096, 46.73727563777691)","(4.466360897114495, 41.077290574852206)","(4.053684635812378, 35.57734712916312)","(4.078804973763443, 34.36309906757283)","(4.2447182078881855, 34.66051152807735)","(4.283851858816286, 34.095147503031235)","(3.9652152636588163, 31.069930843965302)","(5.663863480684451, 59.48010708887744)","(5.449261513634313, 56.37352255060445)","(5.0441032309906735, 50.62415894382485)","(5.073539249625849, 48.1809790898965)","(4.998536621843653, 44.66308100649238)","(4.903465275022781, 41.450811611903234)","(4.88233653503619, 39.65878477801068)","(4.761502152030647, 37.700909259497315)","(4.4444670353643945, 34.57173000523734)","(4.022653877567291, 30.91264016305149)","(5.628868589110501, 58.16034043633024)","(5.235201127629614, 53.21477087678348)","(4.978997338536213, 48.96924511825152)","(5.209871060316618, 48.36271874167966)","(5.404486806656724, 47.072014357307715)","(5.474451511481113, 45.03518384912535)","(5.483484379893613, 43.27045245216504)","(5.3098843331901895, 40.81301504726596)","(4.979758790311834, 37.63993135748813)","(4.397628414272517, 32.95271918342794)","(6.018328671532607, 60.25676758389909)","(5.353210077628521, 52.65856220830108)","(5.024236673344871, 47.855563069189884)","(5.15579291108117, 46.56450266845523)","(5.275930892954417, 44.96441052449556)","(5.316973222571762, 42.918979461141404)","(5.4936329889439035, 42.37663780654573)","(5.649856029981676, 42.186844061915586)","(5.445181997987678, 39.920573402163505)","(4.79296696983945, 34.887996430952725)","(6.55979471519854, 63.34294301891144)","(5.70785805697002, 53.92785494056031)","(5.15318473949188, 47.14583599916798)","(5.022364029682127, 43.858604581530486)","(5.0261701788248105, 41.65539372439465)","(5.031779865548058, 39.652552298846)","(5.3776612855993395, 40.52358556392708)","(5.6658943334964995, 41.20717646275626)","(5.5641555919442265, 39.59314065648837)","(4.918311355163466, 34.750913090812084)"
1,1,10,"(3.7090973128058318, 13.301195929216275)","(3.5899077999895943, 13.03516741251042)","(3.773617026763144, 13.79108093298738)","(4.04360031307386, 14.745057758640533)","(3.9549471023779676, 14.342804643610167)","(3.481862236350898, 12.559224367303354)","(2.988381133170285, 10.724433221889246)","(2.686918234300334, 9.5596245281026)","(2.6690781127637693, 9.23343921973174)","(2.595183253939562, 8.682707754787021)","(3.561992895968567, 13.096564761587262)","(3.8616403952127296, 14.078570608768617)","(4.123788364529826, 14.935709261870603)","(4.1212716979091875, 14.930625868348738)","(3.7561479970198772, 13.584735011911157)","(3.2065354309959, 11.54979253323482)","(2.9039170063649347, 10.264396677076666)","(2.8319510055375043, 9.72363954845822)","(2.773122780494797, 9.274472313943162)","(2.9099375171438817, 9.430756466018357)","(3.7630823568103855, 13.922568208053164)","(4.225308506677293, 15.379850409855665)","(4.4309739200492295, 15.938707315316215)","(4.365502095590808, 15.543067110277004)","(3.7973964498693, 13.515481343744092)","(3.3479020947673845, 11.728833673838587)","(3.106557506912634, 10.608953252989496)","(3.094367198015569, 10.201040477468817)","(3.0976417140200487, 9.9109965921069)","(3.2172492594251314, 9.986403594051586)","(4.16568466412537, 15.247305102848857)","(4.720031690022116, 16.977973563519484)","(4.830522268656098, 17.094254486298638)","(4.59931861586127, 16.03240704594083)","(4.3347130489140655, 14.729975103361765)","(3.9036164176351615, 12.980076546475448)","(3.8230812372988097, 12.292778673425182)","(3.7818709685824268, 11.767382397017949)","(3.6717247862394338, 11.142289734729339)","(3.391761128047906, 10.228944354925535)","(4.410908715421239, 15.893802675389463)","(4.887482656346513, 17.34611287352886)","(4.877410904618935, 17.009422236513874)","(4.8353079681127165, 16.381613440804607)","(4.670128196448753, 15.299905195011371)","(4.624733216593655, 14.599637419606422)","(4.78109817703427, 14.539153391778322)","(4.75320844958026, 14.031919324601297)","(4.349719470417034, 12.667303791939714)","(3.831065581351001, 11.17605592484772)","(4.894142178126003, 17.34266210643286)","(4.935093169942682, 17.3266998879917)","(4.787571923813682, 16.54907884501127)","(4.91694050156856, 16.446638106390264)","(5.0982434695882946, 16.384169052578944)","(5.3932127344562115, 16.61659788707199)","(5.887277854137278, 17.41029297735343)","(5.9341047703918175, 17.026811948017258)","(5.301221220895509, 15.053623959651675)","(4.407539503762924, 12.63872021184192)","(5.570614385365615, 19.420939798273537)","(5.145290858352479, 17.859671855388264)","(4.7364084776998805, 16.242936466671306)","(4.92898374005078, 16.386262080576245)","(5.379962669441848, 17.20367886723265)","(5.901897502538134, 18.097888254502312)","(6.486800910437845, 19.051358851872273)","(6.489848709066357, 18.439877651162565)","(5.764731347380688, 16.21146701288504)","(4.630534938211697, 13.203582818372434)","(6.085618177616772, 20.857810689407756)","(5.535287989845927, 18.86774950928132)","(4.95951956967963, 16.69707301470594)","(4.9814138731178215, 16.330468638221685)","(5.408806224738527, 17.101050261036548)","(5.829726634731637, 17.731475329088532)","(6.305400080639051, 18.38042122594368)","(6.222414503816478, 17.543654098082094)","(5.4969069414611615, 15.320467998776238)","(4.415310724348277, 12.488491514516308)"
