,total_abs_front
2019-01-01 00:00:00-06:00,40.63751381865977
2019-01-01 01:00:00-06:00,40.63751381865977
2019-01-01 02:00:00-06:00,40.63751381865977
2019-01-01 03:00:00-06:00,40.63751381865977
2019-01-01 04:00:00-06:00,40.63751381865977
2019-01-01 05:00:00-06:00,40.63751381865977
2019-01-01 06:00:00-06:00,40.63751381865977
2019-01-01 07:00:00-06:00,40.60975992052437
2019-01-01 08:00:00-06:00,29.842783487163445
2019-01-01 09:00:00-06:00,15.853545359323206
2019-01-01 10:00:00-06:00,4.915768585860171
2019-01-01 11:00:00-06:00,-2.0055064034118075
2019-01-01 12:00:00-06:00,-4.570072642001627
2019-01-01 13:00:00-06:00,-2.677590865448657
2019-01-01 14:00:00-06:00,3.599153066625483
2019-01-01 15:00:00-06:00,13.967001503998837
2019-01-01 16:00:00-06:00,27.621881833899373
2019-01-01 17:00:00-06:00,40.21551552715527
2019-01-01 18:00:00-06:00,40.63751381865977
2019-01-01 19:00:00-06:00,40.63751381865977
2019-01-01 20:00:00-06:00,40.63751381865977
2019-01-01 21:00:00-06:00,40.63751381865977
2019-01-01 22:00:00-06:00,40.63751381865977
2019-01-01 23:00:00-06:00,40.63751381865977
2019-01-02 00:00:00-06:00,40.63751381865977
2019-01-02 01:00:00-06:00,40.63751381865977
2019-01-02 02:00:00-06:00,40.63751381865977
2019-01-02 03:00:00-06:00,40.63751381865977
2019-01-02 04:00:00-06:00,40.63751381865977
2019-01-02 05:00:00-06:00,40.63751381865977
2019-01-02 06:00:00-06:00,40.63751381865977
2019-01-02 07:00:00-06:00,40.612826753294335
2019-01-02 08:00:00-06:00,29.884124874224582
2019-01-02 09:00:00-06:00,15.865962225565411
2019-01-02 10:00:00-06:00,4.892635206975797
2019-01-02 11:00:00-06:00,-2.0654151384189348
2019-01-02 12:00:00-06:00,-4.666175543387951
2019-01-02 13:00:00-06:00,-2.808039878122699
2019-01-02 14:00:00-06:00,3.43775579115389
2019-01-02 15:00:00-06:00,13.781015320014667
2019-01-02 16:00:00-06:00,27.428009767311263
2019-01-02 17:00:00-06:00,40.154542822097724
2019-01-02 18:00:00-06:00,40.63751381865977
2019-01-02 19:00:00-06:00,40.63751381865977
2019-01-02 20:00:00-06:00,40.63751381865977
2019-01-02 21:00:00-06:00,40.63751381865977
2019-01-02 22:00:00-06:00,40.63751381865977
2019-01-02 23:00:00-06:00,40.63751381865977
2019-01-03 00:00:00-06:00,40.63751381865977
2019-01-03 01:00:00-06:00,40.63751381865977
2019-01-03 02:00:00-06:00,40.63751381865977
2019-01-03 03:00:00-06:00,40.63751381865977
2019-01-03 04:00:00-06:00,40.63751381865977
2019-01-03 05:00:00-06:00,40.63751381865977
2019-01-03 06:00:00-06:00,40.63751381865977
2019-01-03 07:00:00-06:00,40.61536889022844
2019-01-03 08:00:00-06:00,29.91805937308581
2019-01-03 09:00:00-06:00,15.870257164645338
2019-01-03 10:00:00-06:00,4.861348555988336
2019-01-03 11:00:00-06:00,-2.133276110361912
2019-01-03 12:00:00-06:00,-4.769893819830642
2019-01-03 13:00:00-06:00,-2.9456684275393314
2019-01-03 14:00:00-06:00,3.2696994333192677
2019-01-03 15:00:00-06:00,13.58897208247529
2019-01-03 16:00:00-06:00,27.22872081760515
2019-01-03 17:00:00-06:00,40.0871267376819
2019-01-03 18:00:00-06:00,40.63751381865977
2019-01-03 19:00:00-06:00,40.63751381865977
2019-01-03 20:00:00-06:00,40.63751381865977
2019-01-03 21:00:00-06:00,40.63751381865977
2019-01-03 22:00:00-06:00,40.63751381865977
2019-01-03 23:00:00-06:00,40.63751381865977
2019-01-04 00:00:00-06:00,40.63751381865977
2019-01-04 01:00:00-06:00,40.63751381865977
2019-01-04 02:00:00-06:00,40.63751381865977
2019-01-04 03:00:00-06:00,40.63751381865977
2019-01-04 04:00:00-06:00,40.63751381865977
2019-01-04 05:00:00-06:00,40.63751381865977
2019-01-04 06:00:00-06:00,40.63751381865977
2019-01-04 07:00:00-06:00,40.61745562850251
2019-01-04 08:00:00-06:00,29.944515872145082
2019-01-04 09:00:00-06:00,15.866382156737586
2019-01-04 10:00:00-06:00,4.821903393338978
2019-01-04 11:00:00-06:00,-2.2090499059885573
2019-01-04 12:00:00-06:00,-4.881145188408681
2019-01-04 13:00:00-06:00,-3.090355258812643
2019-01-04 14:00:00-06:00,3.0951379901603673
2019-01-04 15:00:00-06:00,13.391047751011907
2019-01-04 16:00:00-06:00,27.024184247364715
2019-01-04 17:00:00-06:00,40.01298692667079
2019-01-04 18:00:00-06:00,40.63751381865977
2019-01-04 19:00:00-06:00,40.63751381865977
2019-01-04 20:00:00-06:00,40.63751381865977
2019-01-04 21:00:00-06:00,40.63751381865977
2019-01-04 22:00:00-06:00,40.63751381865977
2019-01-04 23:00:00-06:00,40.63751381865977
2019-01-05 00:00:00-06:00,40.63751381865977
2019-01-05 01:00:00-06:00,40.63751381865977
2019-01-05 02:00:00-06:00,40.63751381865977
2019-01-05 03:00:00-06:00,40.63751381865977
2019-01-05 04:00:00-06:00,40.63751381865977
2019-01-05 05:00:00-06:00,40.63751381865977
2019-01-05 06:00:00-06:00,40.63751381865977
2019-01-05 07:00:00-06:00,40.61914449457972
2019-01-05 08:00:00-06:00,29.963426265064605
2019-01-05 09:00:00-06:00,15.85429487538805
2019-01-05 10:00:00-06:00,4.774300728486793
2019-01-05 11:00:00-06:00,-2.2926909124000687
2019-01-05 12:00:00-06:00,-4.999841580934927
2019-01-05 13:00:00-06:00,-3.241974015635577
